"yyyymm","rstar","rstar_l95","rstar_u95"
198012,2.3297592733873,1.49575575956537,3.15704028326464
198103,2.34790810522828,1.5110779865337,3.18324151085014
198106,2.3710022253236,1.54042314385346,3.19883760623466
198109,2.39503357583023,1.56493781791389,3.21937229732351
198112,2.39668353881891,1.56992196983447,3.21214246654672
198203,2.40462324509346,1.59361449628221,3.2120623224813
198206,2.40274532075976,1.60758317379741,3.19216446650753
198209,2.39134732421465,1.6023425345726,3.17243575496835
198212,2.36184142819801,1.58584924153612,3.12792892892757
198303,2.36756114364821,1.59772377602907,3.12798630742078
198306,2.37432654886465,1.60629181763,3.13095709055555
198309,2.39280453684825,1.63012697451795,3.15306295603974
198312,2.40114411857939,1.6388377552127,3.15209087506903
198403,2.40439656839074,1.65101479962967,3.14836510878154
198406,2.42303195800745,1.67771425621723,3.15960441830668
198409,2.41656051968714,1.68334440360961,3.14011696287494
198412,2.39445708991657,1.68137770036975,3.10494412491882
198503,2.3844853592999,1.68231246114146,3.08243356783931
198506,2.37041293583813,1.67824200714243,3.06232375353601
198509,2.36069547951018,1.67212203033314,3.04925264472726
198512,2.34634890023803,1.66433263960888,3.02381863173072
198603,2.31430272803101,1.64730827233881,2.98159769388656
198606,2.29119342348264,1.63770427103176,2.9462772212526
198609,2.27931293489561,1.63252885687469,2.9273207947424
198612,2.27623247308811,1.63651820597786,2.91679866365506
198703,2.27442671319543,1.63580898573099,2.90782325368613
198706,2.29236587942916,1.65433623892892,2.92223229955035
198709,2.3053663999263,1.67177875876161,2.93012565330571
198712,2.30978247013982,1.68723869347666,2.93288980415113
198803,2.30039185202997,1.68473855959571,2.91696654462584
198806,2.30675666913458,1.69835433610016,2.91487886665883
198809,2.30823388972624,1.716833112348,2.9055669742416
198812,2.3053019358029,1.72244175701155,2.89906326059878
198903,2.30602274010121,1.73186274880051,2.88964951466379
198906,2.29628644952925,1.72923209023028,2.87349942934858
198909,2.2864182017717,1.73039799780209,2.85360734954515
198912,2.28061185225454,1.73773726607128,2.83902092685915
199003,2.28785467477151,1.75212185818834,2.83710135071829
199006,2.29520496510216,1.76699715234449,2.84365937196124
199009,2.29801758479586,1.77841540301976,2.83849307133317
199012,2.29555907983943,1.78054742276382,2.82492079955019
199103,2.2947862971498,1.79196876947755,2.81707797090601
199106,2.29911305496498,1.80871284223065,2.81300255266997
199109,2.29598067460076,1.81669379440038,2.79924569690754
199112,2.29098313974843,1.82519059655032,2.78204052434556
199203,2.29365681809781,1.8393327790604,2.77215580265874
199206,2.28399539093254,1.83610027338818,2.76024318668056
199209,2.2594785372236,1.81828426226458,2.73211832025334
199212,2.24490572066282,1.81322089324245,2.71255145086922
199303,2.22091187885251,1.79853335682081,2.68016769908752
199306,2.22500399227175,1.799459861429,2.67910906475618
199309,2.22795774175032,1.80688587886966,2.68000751164551
199312,2.24336880621588,1.82758476039537,2.69223747243941
199403,2.26140688731805,1.84841871091646,2.7054131801549
199406,2.29018396890045,1.87821592026836,2.73556882412657
199409,2.30945088120606,1.89439278776832,2.7500040649267
199412,2.33168316031831,1.92096553081509,2.76502536386345
199503,2.33853394801109,1.93295729913202,2.76467961503335
199506,2.32973323687868,1.9238990430739,2.75307543366371
199509,2.32462397646242,1.92051270893419,2.74688310564016
199512,2.31652893959019,1.91503992535007,2.7348290780941
199603,2.31911167741265,1.91755631181539,2.72938867385926
199606,2.3413748679009,1.94040709078369,2.75212657875107
199609,2.35543465666343,1.95134618321995,2.76694804467123
199612,2.36157849937816,1.95545624854174,2.76872704108389
199703,2.38020658599709,1.97632321326263,2.78494077688287
199706,2.38128535152806,1.97346735285911,2.78846392521506
