"yyyymm","date","pi","tb3m","rr","g","ga","gma","lfg","lfga","lfgma","rstar"
198003,1980-01-01,10.4646560955766,13.3533333333333,2.88867723775677,1.29178686545757,1.41796343896736,3.26552910043008,-1.91183974630285,0.990912117465204,1.66275226374846,1.13602939310857
198006,1980-04-01,10.189173310567,9.61666666666667,-0.572506643900345,-8.19593464801116,-0.75200944104612,3.04295186912965,-6.80804567767765,-1.01195109177441,1.59096175701031,0.486089171684436
198009,1980-07-01,10.0534093873582,9.15333333333333,-0.90007605402486,-0.606537488228298,-1.61912203247212,2.93959293620048,-1.49434641633874,-2.21203058635462,1.62046060086309,0.479361362180544
198012,1980-10-01,10.1059541898156,13.6133333333333,3.50737914351774,7.34521118902904,-0.0413685204382119,3.22661440901374,5.03777243289392,-1.29411485185633,1.84263208368597,1.07436021941951
198103,1981-01-01,9.71957622277224,14.39,4.67042377722776,8.19350695292087,1.68406150142761,3.1672160492848,2.16077957430265,-0.275960021704957,1.84834599277091,1.32613802388174
198106,1981-04-01,8.96058029857008,14.9066666666667,5.94608636809659,-2.93169388122934,3.00012169312307,3.0370172298028,-0.659706072935506,1.26112487948058,1.77316201567757,1.68267199366427
198109,1981-07-01,8.28036698500991,15.0533333333333,6.77296634832342,4.56386991715121,4.29272354446795,3.0732352064897,0.167566918140238,1.67660321310033,1.80452532466102,2.06942019903368
198112,1981-10-01,7.35194536822918,11.75,4.39805463177082,-4.69396014637766,1.28293071061627,2.92672235024284,-1.34759880063271,0.0802604047186684,1.66979994982204,1.58149120825132
198203,1982-01-01,6.04064969844069,12.8133333333333,6.77268363489264,-6.74767342926899,-2.45236438493119,2.58019443902024,-6.58421491319174,-2.10598821715493,1.37244529596305,2.00249519088248
198206,1982-04-01,5.33656539401486,12.42,7.08343460598514,2.17318377449516,-1.17614497100007,2.40559342773548,0.998183876008341,-1.69151572991897,1.34792197546786,2.16141740162679
198209,1982-07-01,5.27429834582365,9.31666666666667,4.04236832084302,-1.44322170635789,-2.67791787687734,2.27777506395665,-2.54952865307381,-2.37078962272248,1.20734296476151,1.62562424398769
198212,1982-10-01,4.86891807461634,7.90666666666667,3.03774859205033,0.390017602646253,-1.40692343962137,2.12282813719082,-3.66086281959532,-2.94910562746313,1.02589640652438,1.51998571028691
198303,1983-01-01,4.48121170993931,8.10666666666667,3.62545495672735,5.2051857496977,1.58129135512031,2.00975672873035,2.10869669671965,-0.775877724985286,0.945224619022209,1.67681407421743
198306,1983-04-01,4.44928105903739,8.39666666666667,3.94738560762928,9.02529122697331,3.29431821823984,2.12265086066239,4.02420493010567,-0.0193724614609536,0.938852442274056,1.72729142956233
198309,1983-07-01,4.19422308368933,9.14,4.94577691631067,7.75602776734488,5.59413058666554,2.37103948840696,7.92895253123689,2.60024783461672,1.08006299376441,1.89970848137758
198312,1983-10-01,3.74954991513867,8.8,5.05045008486133,8.16487679632587,7.53784538508544,2.48235136311857,6.35655834250599,5.10460312514205,1.18004279765882,1.9628971783154
198403,1984-01-01,3.95948685930683,9.17,5.21051314069317,7.86941823236447,8.20390350575213,2.76249799138931,7.71210539074154,6.50545529864752,1.37368691174851,2.0932543051205
198406,1984-04-01,4.00588271428068,9.79666666666667,5.79078395238598,6.96436950786108,7.68867307597407,2.91035238248197,5.07772104752142,6.76883432800146,1.5202845841627,2.17646789650718
198409,1984-07-01,3.468541533526,10.32,6.851458466474,3.91596843169495,6.72865824206159,3.10554426159761,1.91708277321077,5.26586688849493,1.62429894698535,2.513461447333
198412,1984-10-01,3.42862009934009,8.80333333333333,5.37471323399325,3.17786053096754,5.48190417572201,3.22506778566051,2.2807919964773,4.24692530198776,1.83095883598539,2.29652183049296
198503,1985-01-01,3.54643656583362,8.18333333333333,4.63689676749971,3.95688180157947,4.50377006802576,3.44553944021682,3.06522204394604,3.08520446528888,2.23019095438102,2.29197707290174
198506,1985-04-01,3.42031220123244,7.46,4.03968779876756,3.6453024849628,3.67400331230119,3.4599215984824,2.08082567096319,2.33598062114933,2.36402928774006,2.24485972678857
198509,1985-07-01,3.44250330386382,7.10666666666667,3.66416336280285,6.17491590720505,4.23874018117871,3.45038479843984,0.523230195691937,1.98751747676962,2.2750160237347,2.14499321365626
198512,1985-10-01,3.50478957198481,7.16666666666667,3.66187709468185,2.98953357436247,4.19165844202745,3.39120703051327,1.50459194949946,1.79346746502516,2.17008688324399,2.22077668820891
198603,1986-01-01,3.02948632713393,6.89666666666667,3.86718033953273,3.69035238834527,4.1250260887189,3.26016063840473,0.140765767218554,1.06235339584329,2.02976029866049,2.16820005821685
198606,1986-04-01,2.06972446032125,6.14,4.07027553967875,1.83205190417084,3.67171344352091,3.23068868709639,-0.929970828928717,0.309654270870308,1.98412231626887,2.31496246595947
198609,1986-07-01,1.78287437848716,5.52333333333333,3.74045895484617,4.0061414883624,3.12951983881025,3.28012466381033,2.15722429182712,0.718152794904103,1.99171284235533,2.23630896024855
198612,1986-10-01,1.69308339188019,5.35333333333333,3.66024994145314,2.0656687952588,2.89855364403433,3.25698896480914,2.93570749255778,1.07593168066868,2.04329713548772,2.25419729152505
198703,1987-01-01,1.91262270113874,5.53666666666667,3.62404396552792,2.78718608074442,2.67276206713412,3.21098889062611,4.59769870977631,2.19016491630812,2.05850087176772,2.26763439219887
198706,1987-04-01,2.97983602948566,5.65666666666667,2.67683063718101,4.46506198100138,3.33101458634175,3.1282519639611,2.47993290527155,3.04264084985819,1.89855596750727,2.15982986157048
198709,1987-07-01,3.40641868569449,6.04333333333333,2.63691464763884,3.6114830642525,3.23234998031428,3.04317148931064,2.50545048033359,3.12969739698481,1.88332059137197,2.13332112222866
198712,1987-10-01,3.68641428037551,5.86333333333333,2.17691905295783,6.54828437154578,4.35300387438602,3.20582839871138,4.0499596199016,3.40826042882076,1.88343556575612,2.08073299734599
198803,1988-01-01,3.52869067951014,5.72333333333333,2.1946426538232,2.2432463389535,4.21701893893829,3.22717559674057,0.269142790399002,2.32612144897644,1.838428586753,2.15900066486432
198806,1988-04-01,3.68178281906921,6.21,2.52821718093079,5.2505174369557,4.41338280292687,2.97700239125085,5.4778904811176,3.07561084293795,1.695714450504,2.0891101102618
198809,1988-07-01,3.97153383116002,7.01,3.03846616883998,2.30222955946573,4.08606942673018,2.93724173436217,0.782143520619272,2.64478410300937,1.63423676819676,2.17053202436053
198812,1988-10-01,4.09496677616055,7.72666666666667,3.63169989050612,5.26360422480465,3.7648993900449,2.93560059473917,4.60864930939948,2.78445652538384,1.64152270826762,2.28742943735715
198903,1989-01-01,4.43306922567821,8.54,4.10693077432179,4.01474064471188,4.20777296648449,3.01612055456378,3.70095489195812,3.64240955077362,1.66447952294579,2.3584676166137
198906,1989-04-01,4.65507572719712,8.41,3.75492427280288,3.13307697103866,3.67841285000523,3.08234855703867,1.06655790808183,2.53957640751468,1.66105829166582,2.35785478340039
198909,1989-07-01,3.99867847682991,7.84333333333333,3.84465485650342,2.97491109799424,3.84658323463736,3.08517351255164,1.467796779826,2.71098972231636,1.61510392211191,2.31725038762511
198912,1989-10-01,3.7800888057725,7.65333333333333,3.87324452756084,0.845435846257203,2.7420411400005,3.08045448018573,0.0171856371064649,1.56312380424311,1.58138082566706,2.44694654731221
199003,1990-01-01,4.08272277249386,7.76,3.67727722750614,4.35570052782595,2.82728111077901,3.15705232174494,0.485189438993316,0.759182441001904,1.64130655529946,2.4293685408927
199006,1990-04-01,3.65596350532806,7.74666666666667,4.0907031613386,1.54379255191657,2.42996000599849,3.40054550174314,-1.97017185592578,0,1.76225340084326,2.54801727629649
199009,1990-07-01,4.3363823727657,7.47666666666667,3.14028429390097,0.0987661362742642,1.7109237655685,3.4181780923557,-2.50030553793863,-0.992025579441158,1.73710442280326,2.33807472282743
199012,1990-10-01,4.86176296921386,6.99,2.12823703078614,-3.42434293626894,0.643479069936959,3.14893923922325,-1.11241543908136,-1.27442584848811,1.58334972600388,2.19495714095798
199103,1991-01-01,3.93994307823187,6.02333333333333,2.08339025510147,-1.88147183929743,-0.915814021843886,2.89706476941779,-4.04984817652299,-2.40818525236719,1.42808403223324,2.17384766565799
199106,1991-04-01,3.57601857908865,5.56,1.98398142091135,3.09225227959118,-0.528699089925233,3.0476634234383,-2.37190568146204,-2.50861870875125,1.38527904202007,2.14221851201383
199109,1991-07-01,3.00370589905246,5.37666666666667,2.37296076761421,1.91545317465156,-0.0745273303309091,2.98145300487581,-0.362755640385259,-1.97423123436291,1.37202097805694,2.12857368713296
199112,1991-10-01,2.41540610252535,4.54,2.12459389747465,1.74247967631018,1.21717832281387,3.14236400044301,-0.855103530628298,-1.90990325724965,1.38433335980705,2.21700008818165
199203,1992-01-01,2.53463032484031,3.89333333333333,1.35870300849302,4.69727815392531,2.86186582111956,3.42848779002287,-2.57186967715057,-1.54040863240654,1.48464199070808,2.06846193776246
199206,1992-04-01,2.66602821848547,3.68,1.01397178151453,4.38649488586336,3.1854264726876,3.48382056780707,2.07480429569671,-0.428731138116856,1.51155750120028,2.09198599064316
199209,1992-07-01,2.62555198549581,3.08333333333333,0.457781347837523,3.86966150069483,3.67397855419842,3.61664264798339,0.505935937859903,-0.211558243555565,1.58794411597363,1.96581656294852
199212,1992-10-01,2.61216210066095,3.07,0.457837899339047,3.9881234673075,4.23538950194775,3.70659529459992,2.49808758257188,0.62673953474448,1.74191787602781,2.00539030120731
199303,1993-01-01,2.5908835191923,2.96,0.3691164808077,0.745043135714951,3.24733074739516,3.59509172925035,2.87662019646646,1.98886200314874,1.76111596352148,1.93009611512576
199306,1993-04-01,2.60135079240458,2.96666666666667,0.365315874262089,2.37158938801656,2.74360437293346,3.42874918327643,4.36525437566999,2.56147452314206,1.76964219966059,1.83962451113841
199309,1993-07-01,2.40194141192918,3.00333333333333,0.601391921404157,1.94591239089021,2.26266709548231,3.28349629886507,2.24883375963678,2.99719897858628,1.62763923037058,1.9341698073063
199312,1993-10-01,2.27260728710101,3.06,0.787392712898986,5.30447903256075,2.59175598679562,3.21198635477094,3.64626305753717,3.2842428473276,1.55988184824636,1.88572906373455
199403,1994-01-01,2.03478756841742,3.24333333333333,1.20854576491592,3.90266508799542,3.38116147486573,3.11281752616171,3.69362718796857,3.48849459520313,1.45941989317704,1.96241425234576
199406,1994-04-01,1.91715891853992,3.98666666666667,2.06950774812675,5.42977760135201,4.1457085281996,3.07445272849899,7.04572476911842,4.15861219356524,1.50861998621696,2.09015867002267
199409,1994-07-01,2.19210960825293,4.47666666666667,2.28455705841373,2.35189155825068,4.24720332003972,3.03535080666288,4.30338155158374,4.67224914155198,1.56827745567629,2.11126238215909
199412,1994-10-01,2.08919040067066,5.28,3.19080959932934,4.51633542816055,4.05016741893967,3.06881267909271,1.76246045505906,4.20129849093245,1.55531916714083,2.19773529027557
199503,1995-01-01,2.21213037278378,5.73666666666667,3.52453629388288,1.36488833482389,3.41572323064678,3.00401284242382,1.9338491203083,3.76135397401738,1.52703484404989,2.2811496737205
199506,1995-04-01,2.220137038967,5.59666666666667,3.37652962769967,1.39518177964391,2.40707427521976,2.94775982479084,-0.0895501128205467,1.97753525353264,1.47277544945529,2.21531548059689
199509,1995-07-01,1.90972796873234,5.36666666666667,3.45693869793432,3.40961001155833,2.67150388854667,2.87862717739968,3.95764090931792,1.89110009296618,1.55863571729594,2.19603028670034
199512,1995-10-01,1.88005493744559,5.26,3.37994506255441,2.82964328228488,2.24983085207775,2.87462992009774,0.740987053342579,1.63573174253706,1.53954559489202,2.23729685163511
199603,1996-01-01,1.96178217362402,4.93,2.96821782637598,2.61543175006764,2.56246670588869,2.84775690414079,0.739616936515475,1.33717369658886,1.55451687412445,2.23904127178103
199606,1996-04-01,2.05674348071279,5.02,2.96325651928721,6.9237247059462,3.94460243746426,2.97504872418518,3.47471883878328,2.22824093448981,1.66463411581725,2.24318024398391
199609,1996-07-01,2.08360626068025,5.09666666666667,3.01306040598642,3.68307677564985,4.01296912848714,2.96697210636736,2.9590099735902,1.97858320055788,1.68467875786132,2.24745976751859
199612,1996-10-01,2.31805980871531,4.97666666666667,2.65860685795136,4.20409625271532,4.35658237109475,3.02043279280378,4.37442028256037,2.88694150786233,1.72064657761139,2.19820536923903
199703,1997-01-01,2.19819065339122,5.06,2.86180934660878,3.03716237908986,4.46201502835031,3.02668220026241,3.5994736706737,3.60190569140189,1.69569095163382,2.26346606694266
199706,1997-04-01,1.78663369222427,5.04666666666667,3.2600329744424,5.9892544132687,4.22839745518093,3.0647870110691,1.73559541918245,3.16712483650168,1.67708251448159,2.31363606628566
