"yyyymm","date","pi","tb3m","rr","rstar"
199303,1993-01-01,2.5908835191923,2.96,0.3691164808077,1.89088096194189
199306,1993-04-01,2.60135079240458,2.96666666666667,0.365315874262089,1.86815406145081
199309,1993-07-01,2.40194141192918,3.00333333333333,0.601391921404157,1.89976843106469
199312,1993-10-01,2.27260728710101,3.06,0.787392712898986,1.91059430028386
199403,1994-01-01,2.03478756841742,3.24333333333333,1.20854576491592,1.9527193304545
199406,1994-04-01,1.91715891853992,3.98666666666667,2.06950774812675,2.07631338978626
199409,1994-07-01,2.19210960825293,4.47666666666667,2.28455705841373,2.11533026010267
199412,1994-10-01,2.08919040067066,5.28,3.19080959932934,2.21787359945134
199503,1995-01-01,2.21213037278378,5.73666666666667,3.52453629388288,2.28476896118476
199506,1995-04-01,2.220137038967,5.59666666666667,3.37652962769967,2.27968621371455
199509,1995-07-01,1.90972796873234,5.36666666666667,3.45693869793432,2.33227440043007
199512,1995-10-01,1.88005493744559,5.26,3.37994506255441,2.28356623051215
199603,1996-01-01,1.96178217362402,4.93,2.96821782637598,2.25350337341792
199606,1996-04-01,2.05674348071279,5.02,2.96325651928721,2.26787853539763
199609,1996-07-01,2.08360626068025,5.09666666666667,3.01306040598642,2.30815925192553
199612,1996-10-01,2.31805980871531,4.97666666666667,2.65860685795136,2.24991794441616
199703,1997-01-01,2.19819065339122,5.06,2.86180934660878,2.29083923943541
199706,1997-04-01,1.78663369222427,5.04666666666667,3.2600329744424,2.35989161295409
199709,1997-07-01,1.61595145237063,5.04666666666667,3.43071521429603,2.3995318509738
199712,1997-10-01,1.25222688924378,5.09,3.83777311075622,2.4411846243724
199803,1998-01-01,0.80668639054986,5.05333333333333,4.24664694278347,2.55194250466443
199806,1998-04-01,0.738313959959047,4.97666666666667,4.23835270670762,2.56434658965206
199809,1998-07-01,0.785586778244074,4.82333333333333,4.03774655508926,2.53308589740788
199812,1998-10-01,0.728343234069051,4.25333333333333,3.52499009926428,2.49952766849096
199903,1999-01-01,0.994320459417164,4.40666666666667,3.4123462072495,2.51918080605246
199906,1999-04-01,1.34967581348056,4.45333333333333,3.10365751985278,2.48493629559999
199909,1999-07-01,1.57216777991351,4.65,3.07783222008649,2.47297362620057
199912,1999-10-01,1.91032138656233,5.04333333333333,3.133011946771,2.47710980361173
200003,2000-01-01,2.48300357447722,5.52,3.03699642552278,2.47996405041007
200006,2000-04-01,2.40600680798915,5.71333333333333,3.30732652534419,2.52239250100246
200009,2000-07-01,2.49915341256948,6.01666666666667,3.51751325409719,2.55405421624467
200012,2000-10-01,2.45915186333923,6.01666666666667,3.55751480332744,2.58918375349501
200103,2001-01-01,2.2909969422523,4.81666666666667,2.52566972441437,2.46173195836803
200106,2001-04-01,2.31134974307281,3.66,1.34865025692719,2.29920046219752
200109,2001-07-01,1.76833731177881,3.17,1.40166268822119,2.25991646510541
200112,2001-10-01,1.28246901127067,1.90666666666667,0.624197655395996,2.12629551615061
200203,2002-01-01,0.801795145253337,1.72,0.918204854746663,2.16556121988064
200206,2002-04-01,1.09279167950254,1.71333333333333,0.620541653830797,2.11326650108572
200209,2002-07-01,1.52040821318344,1.64333333333333,0.122925120149889,2.02019197101446
200212,2002-10-01,1.91187068454566,1.33333333333333,-0.578537351212325,1.87762189536775
200303,2003-01-01,2.43217203609012,1.15666666666667,-1.27550536942345,1.72212137170407
200306,2003-04-01,1.74960569784011,1.04,-0.709605697840106,1.76077181575724
200309,2003-07-01,1.85565656740998,0.93,-0.92565656740998,1.70775259547839
200312,2003-10-01,1.80302658155362,0.916666666666667,-0.886359914886957,1.67684567832271
200403,2004-01-01,1.85921285926103,0.916666666666667,-0.942546192594361,1.6576199762297
200406,2004-04-01,2.47498339811596,1.07666666666667,-1.39831673144929,1.52624626630665
