"yyyymm","date","pi","tb3m","rr","g","ga","gma","lfg","lfga","lfgma","rstar","rstar.lb","rstar.ub","rr.cycle"
198009,1980-07-01,10.0534093873582,9.15333333333333,-0.90007605402486,-0.606537488228298,-1.61912203247212,2.93959293620048,-1.49434641633874,-2.21203058635462,1.62046060086309,1.64375420998367,-0.896785363393146,3.95919267612256,-2.54383026400839
198012,1980-10-01,10.1059541898156,13.6133333333333,3.50737914351774,7.34521118902904,-0.0413685204382119,3.22661440901374,5.03777243289392,-1.29411485185633,1.84263208368597,1.79329702124838,-0.758371051266336,4.17835635532292,1.71408212226876
198103,1981-01-01,9.71957622277224,14.39,4.67042377722776,8.19350695292087,1.68406150142761,3.1672160492848,2.16077957430265,-0.275960021704957,1.84834599277091,1.80776098968171,-0.737376819165461,4.11352792935219,2.86266278754545
198106,1981-04-01,8.96058029857008,14.9066666666667,5.94608636809659,-2.93169388122934,3.00012169312307,3.0370172298028,-0.659706072935506,1.26112487948058,1.77316201567757,1.80811833850358,-0.749232179436903,4.13629309528268,4.13796802959378
198109,1981-07-01,8.28036698500991,15.0533333333333,6.77296634832342,4.56386991715121,4.29272354446795,3.0732352064897,0.167566918140238,1.67660321310033,1.80452532466102,1.8317941810293,-0.720539123752392,4.14920632961139,4.9411721672942
198112,1981-10-01,7.35194536822918,11.75,4.39805463177082,-4.69396014637766,1.28293071061627,2.92672235024284,-1.34759880063271,0.0802604047186684,1.66979994982204,1.749934197609,-0.796713523282818,4.05963324058045,2.64812043416194
198203,1982-01-01,6.04064969844069,12.8133333333333,6.77268363489264,-6.74767342926899,-2.45236438493119,2.58019443902024,-6.58421491319174,-2.10598821715493,1.37244529596305,1.68398662528622,-0.879220358665373,4.00883776643204,5.08869700960596
198206,1982-04-01,5.33656539401486,12.42,7.08343460598514,2.17318377449516,-1.17614497100007,2.40559342773548,0.998183876008341,-1.69151572991897,1.34792197546786,1.65104277760712,-0.935035986313589,3.96474972242728,5.43239182837732
198209,1982-07-01,5.27429834582365,9.31666666666667,4.04236832084302,-1.44322170635789,-2.67791787687734,2.27777506395665,-2.54952865307381,-2.37078962272248,1.20734296476151,1.56417091078296,-1.01045865465486,3.87389504600786,2.47819741006016
198212,1982-10-01,4.86891807461634,7.90666666666667,3.03774859205033,0.390017602646253,-1.40692343962137,2.12282813719082,-3.66086281959532,-2.94910562746313,1.02589640652438,1.48701836187751,-1.06143526842755,3.82932472516337,1.5507302301727
198303,1983-01-01,4.48121170993931,8.10666666666667,3.62545495672735,5.2051857496977,1.58129135512031,2.00975672873035,2.10869669671965,-0.775877724985286,0.945224619022209,1.45609761857318,-1.0795472829469,3.78623857264543,2.16935733815424
198306,1983-04-01,4.44928105903739,8.39666666666667,3.94738560762928,9.02529122697331,3.29431821823984,2.12265086066239,4.02420493010567,-0.0193724614609536,0.938852442274056,1.49886786529418,-1.06200843795744,3.78786457106011,2.4485177423352
198309,1983-07-01,4.19422308368933,9.14,4.94577691631067,7.75602776734488,5.59413058666554,2.37103948840696,7.92895253123689,2.60024783461672,1.08006299376441,1.57487464251139,-0.933090653138376,3.86938777231986,3.37090227379925
198312,1983-10-01,3.74954991513867,8.8,5.05045008486133,8.16487679632587,7.53784538508544,2.48235136311857,6.35655834250599,5.10460312514205,1.18004279765882,1.61706338553922,-0.886530452094422,3.8988621363598,3.43338669932219
198403,1984-01-01,3.95948685930683,9.17,5.21051314069317,7.86941823236447,8.20390350575213,2.76249799138931,7.71210539074154,6.50545529864752,1.37368691174851,1.70688298514298,-0.837821056187908,3.98016250218138,3.50363015555029
198406,1984-04-01,4.00588271428068,9.79666666666667,5.79078395238598,6.96436950786108,7.68867307597407,2.91035238248197,5.07772104752142,6.76883432800146,1.5202845841627,1.7637025955872,-0.758227498962453,4.03974148566691,4.02708135679884
198409,1984-07-01,3.468541533526,10.32,6.851458466474,3.91596843169495,6.72865824206159,3.10554426159761,1.91708277321077,5.26586688849493,1.62429894698535,1.82278957396565,-0.730155359200727,4.13087362841045,5.02866889250796
198412,1984-10-01,3.42862009934009,8.80333333333333,5.37471323399325,3.17786053096754,5.48190417572201,3.22506778566051,2.2807919964773,4.24692530198776,1.83095883598539,1.86037231185541,-0.720730858114541,4.16197084351849,3.51434092213741
198503,1985-01-01,3.54643656583362,8.18333333333333,4.63689676749971,3.95688180157947,4.50377006802576,3.44553944021682,3.06522204394604,3.08520446528888,2.23019095438102,1.95988176562995,-0.660230970753734,4.21743795061341,2.67701500186921
198506,1985-04-01,3.42031220123244,7.46,4.03968779876756,3.6453024849628,3.67400331230119,3.4599215984824,2.08082567096319,2.33598062114933,2.36402928774006,1.97340788796427,-0.650223625015266,4.22634674105418,2.06627991080322
198509,1985-07-01,3.44250330386382,7.10666666666667,3.66416336280285,6.17491590720505,4.23874018117871,3.45038479843984,0.523230195691937,1.98751747676962,2.2750160237347,1.94408806918945,-0.651754329778383,4.21193595812987,1.72007529361363
198512,1985-10-01,3.50478957198481,7.16666666666667,3.66187709468185,2.98953357436247,4.19165844202745,3.39120703051327,1.50459194949946,1.79346746502516,2.17008688324399,1.92405104953323,-0.688009624780102,4.18892502542461,1.73782604514866
198603,1986-01-01,3.02948632713393,6.89666666666667,3.86718033953273,3.69035238834527,4.1250260887189,3.26016063840473,0.140765767218554,1.06235339584329,2.02976029866049,1.88482701422372,-0.73188673896245,4.14314903778551,1.98235332530912
198606,1986-04-01,2.06972446032125,6.14,4.07027553967875,1.83205190417084,3.67171344352091,3.23068868709639,-0.929970828928717,0.309654270870308,1.98412231626887,1.87359006258698,-0.719091154648423,4.1254407385842,2.19668547709173
198609,1986-07-01,1.78287437848716,5.52333333333333,3.74045895484617,4.0061414883624,3.12951983881025,3.28012466381033,2.15722429182712,0.718152794904103,1.99171284235533,1.86918357705938,-0.73301123148872,4.13647477302122,1.87127537778686
