"FilteredMean","FilteredMedian","FilteredP005","FilteredP025","FilteredP05","FilteredP1586","FilteredP25","FilteredP75","FilteredP8413","FilteredP95","FilteredP975","FilteredP995","Date"
1.8500865787488,1.82699119239961,-1.15421540696438,0.0363067970441397,0.442012579554211,1.06172388989341,1.32744792457846,2.35451425064588,2.63998573102628,3.30671846871363,3.73471881025092,5.16361154435414,1967.25
1.88676412047743,1.86417089524222,-1.115906024354,0.0871957784745199,0.480018087316554,1.09862023061365,1.36080900068307,2.39108177259969,2.68077399138757,3.34678240074238,3.77711816671912,5.18406621339779,1967.5
1.92637305403328,1.90054059325381,-1.06408456739417,0.128719120882563,0.52374765779038,1.14151112085364,1.40293049971059,2.43061120626628,2.72171029199209,3.38335953654544,3.82010717654724,5.22658423151231,1967.75
1.89701884150683,1.87193469367696,-1.09405215762499,0.102541445664775,0.500254528601165,1.11263617758042,1.37655862122073,2.40143536297888,2.6862314394493,3.35556393749838,3.7926112568508,5.18690568367213,1968
1.91698256273513,1.89243407166503,-1.05726991387028,0.138418396829037,0.526885044403143,1.13531351617352,1.39467908918339,2.42382394411711,2.7015924300203,3.36924409772199,3.79982159188404,5.20033121082027,1968.25
1.90272049322098,1.87953096159909,-1.09169613971127,0.127761452573486,0.514501312902663,1.124555667787,1.3823821103667,2.40300113878783,2.68747247156783,3.3472123850927,3.78820781833332,5.20836646967847,1968.5
1.92916995507482,1.90310518979219,-1.0322759012596,0.153840482990793,0.540496159027797,1.15271057372978,1.40852555306702,2.42702180685854,2.71843517884621,3.37487857487925,3.81476850551687,5.25484684521598,1968.75
1.95194986404184,1.92500038290502,-1.0101075123452,0.177495990857174,0.555174431930159,1.17577353665325,1.43286713632987,2.44783109315292,2.73784272970837,3.40686317769287,3.84429912093421,5.26551247694418,1969
1.93563489548464,1.91130233658122,-1.01797136932354,0.153911031490834,0.539317886430776,1.15793747953367,1.41455915719604,2.43257798354581,2.72076183414451,3.38554353206093,3.8451469870746,5.26074047195117,1969.25
1.99329299262263,1.96417283056783,-0.96077681064938,0.216922910068735,0.595169764246183,1.21545387257123,1.46973165693623,2.48956771092631,2.78338330596993,3.44819653319619,3.90923084494479,5.30757200375496,1969.5
2.00133057360663,1.97063422913037,-0.950278684643459,0.232534447053138,0.60515666506749,1.22363782820856,1.47726528407415,2.49784266058834,2.78815981654105,3.47252251740441,3.92108402104588,5.33695514036021,1969.75
2.00494520045127,1.97282380131509,-0.957718148083448,0.221427797184733,0.611764732565177,1.22591720759486,1.48074300356033,2.50247148279886,2.79368010053264,3.47242004811041,3.91931359002472,5.34193151865455,1970
2.02233181388882,1.9921412163563,-0.948494967184269,0.245694311657502,0.626738940190856,1.24339694403584,1.49756023512592,2.51993008745465,2.8106354565416,3.49409879701757,3.94250007595418,5.36675382319903,1970.25
1.99534507484192,1.9653075942032,-0.93779703934546,0.229642771837198,0.602863931496176,1.21973423199533,1.47245543007075,2.49428135419814,2.78181684985019,3.47208010686192,3.90502419610942,5.34819322931659,1970.5
1.95246081931489,1.92088800379277,-0.977677696287703,0.193772224589996,0.556651473138984,1.17281635663418,1.43075032396801,2.44824010976914,2.73742138913737,3.42984367912609,3.86618316546853,5.31369533629874,1970.75
1.88577917730199,1.85894551631358,-1.05018915190073,0.119275506890787,0.495263709112546,1.10391530151079,1.36406166712481,2.3798125293302,2.66841729886758,3.35963700367303,3.80484284885149,5.26119881272918,1971
1.91045696222166,1.87973077673408,-1.04391767021162,0.138842225846563,0.525771136007657,1.12982586962218,1.38804035187463,2.40468014239863,2.69338292104472,3.39346322138043,3.83649236144574,5.29335181760025,1971.25
1.92761064387206,1.89834707737675,-1.04383565499441,0.162262022512319,0.546633949439054,1.14317963322607,1.40209331251093,2.42395119060425,2.71282189809139,3.41286578993522,3.85254711310311,5.33092832401034,1971.5
1.89538217165414,1.86689112038098,-1.02630505064462,0.123634543274505,0.509988438171574,1.10889119740493,1.36689085343389,2.39130559239414,2.68121611228845,3.39259463377336,3.81879967101412,5.25317536408922,1971.75
1.88034869599108,1.84907862771801,-1.05651876572615,0.109135087340347,0.496235568809154,1.09336984524587,1.34731740825957,2.37377220407986,2.66676575633174,3.3765247445767,3.81278896613636,5.2515220384073,1972
1.88916689311114,1.85871543095064,-1.01501928667033,0.108203039706964,0.497626010115898,1.09929131254176,1.35387445093073,2.38800827969793,2.67696211032958,3.39368371911949,3.83406889976536,5.2820061225111,1972.25
1.8907954996815,1.86081936426184,-1.0239163278049,0.106765614032386,0.493565958391771,1.09823829011691,1.35302006630132,2.38762766609094,2.68177186824462,3.3924445601273,3.83957253774758,5.29783948978259,1972.5
1.89634390869416,1.86615338116789,-1.01364416665953,0.114300258713541,0.498361580664897,1.10166986102274,1.35472895492462,2.39600953839985,2.69620202702686,3.4046005939448,3.84967666007539,5.31518667362369,1972.75
1.90137534584612,1.86944363614514,-1.0261944320884,0.118088065960995,0.499724177700376,1.10396308660584,1.35596730752769,2.40367032696932,2.70145988136023,3.41639401758651,3.86162068051535,5.32959283392137,1973
1.87597460185481,1.84465912415185,-1.05589165027057,0.0825918385847073,0.466769033744933,1.07454766050996,1.3277519504507,2.37950445731806,2.67869881517351,3.38674945772671,3.84101940453015,5.32832007341445,1973.25
