"SmoothedMean","SmoothedMedian","SmoothedP005","SmoothedP025","SmoothedP05","SmoothedP1586","SmoothedP25","SmoothedP75","SmoothedP8413","SmoothedP95","SmoothedP975","SmoothedP995","Date"
1.30258295544725,1.33775792266051,-1.83058706832862,-0.575772459117377,-0.145090662890712,0.515518323376464,0.799843396735712,1.85738540264549,2.11206880636948,2.64292349975886,2.95690375653256,3.71317007578723,1972.75
1.30150171699834,1.33795736831116,-1.81650835350022,-0.585933898890562,-0.145634741614162,0.513126175580288,0.796356140404961,1.85787858510446,2.11060714812287,2.64702900278844,2.95081314737559,3.70944788047195,1973
1.29162442998786,1.32780459204971,-1.85621161262036,-0.583161011945204,-0.16120519901812,0.500275573244625,0.786388371717061,1.8492043866296,2.10281934838647,2.63524199900574,2.94781831221801,3.69241453300376,1973.25
1.30476254348087,1.33970780340452,-1.83607425556661,-0.559171823374233,-0.151092768873594,0.512465147792994,0.799425542466977,1.86506497794274,2.11515392514895,2.65192537193662,2.96461886511927,3.72328809269561,1973.5
1.28276630690873,1.31683988386984,-1.8418070627801,-0.591523245224091,-0.173568812141541,0.488023376174922,0.778190586063696,1.84252544160661,2.0919912334217,2.63468247631507,2.93277612117019,3.71206366981335,1973.75
1.27621228289296,1.31430106511422,-1.84352615851441,-0.596189876686471,-0.180218709542114,0.48406808700353,0.769025614647711,1.83451480707791,2.08552126268538,2.63017206831046,2.92911599808139,3.68634943814228,1974
1.2922435420484,1.33057911242569,-1.84559541749432,-0.590414091686113,-0.171086110905338,0.497541811268417,0.784649299692131,1.85224785585911,2.10880517372403,2.65648107998889,2.94793866880256,3.70717420406356,1974.25
1.31026875884336,1.34807073815564,-1.81067297487985,-0.567929542519263,-0.153336867019622,0.511840249161777,0.802040318592837,1.87043149068712,2.12729184672292,2.67290761936144,2.9634503585533,3.73642754962395,1974.5
1.30271058521199,1.34074887994609,-1.823930403288,-0.575336113145998,-0.166076109605321,0.501355090789469,0.794783006745805,1.86305138308781,2.12049995896914,2.66759975910012,2.95619392722535,3.72316440786181,1974.75
1.31697188657006,1.35506503552328,-1.80780964146007,-0.554483436270299,-0.149477788148405,0.517870903729329,0.808477791710145,1.87817602855514,2.13375778876531,2.68030282012084,2.97236815011767,3.74553962263904,1975
