"yyyymm","date","pi","tb3m","pistar.ptr","rstar","rstar.lb","rstar.ub","earr","eprr","pistar","pistar.lb","pistar.ub","pihat"
196812,1968-10-01,4.42393669586671,5.58666666666667,2.5154,NA,NA,NA,NA,1.16272997079995,NA,NA,NA,NA
196903,1969-01-01,3.91083787719939,6.09333333333333,2.5154,NA,NA,NA,NA,2.18249545613394,NA,NA,NA,NA
196906,1969-04-01,5.08859570577762,6.19666666666667,2.6198,NA,NA,NA,NA,1.10807096088905,NA,NA,NA,NA
196909,1969-07-01,4.88801907232421,7.02333333333333,2.6787,NA,NA,NA,NA,2.13531426100912,NA,NA,NA,NA
196912,1969-10-01,4.607975848905,7.35333333333333,2.6787,NA,NA,NA,NA,2.74535748442833,NA,NA,NA,NA
197003,1970-01-01,4.60406865968235,7.21,2.6787,NA,NA,NA,NA,2.60593134031765,NA,NA,NA,NA
197006,1970-04-01,4.40759176598391,6.67666666666667,2.6787,NA,NA,NA,NA,2.26907490068276,NA,NA,NA,NA
197009,1970-07-01,3.87221237530753,6.32666666666667,2.8353,NA,NA,NA,NA,2.45445429135914,NA,NA,NA,NA
197012,1970-10-01,5.15815979533425,5.35333333333333,3.0976,NA,NA,NA,NA,0.195173537999084,NA,NA,NA,NA
197103,1971-01-01,3.774549985196,3.84,3.0976,NA,NA,NA,NA,0.0654500148040036,NA,NA,NA,NA
197106,1971-04-01,4.53354377346891,4.25,3.0976,NA,NA,NA,NA,-0.283543773468907,NA,NA,NA,NA
197109,1971-07-01,3.9194403010173,5.01,3.0976,NA,NA,NA,NA,1.0905596989827,NA,NA,NA,NA
197112,1971-10-01,2.48051369988858,4.23,3.4937,1.62485613569193,1.1342872624391,2.10522446051795,1.46392298777166,1.74948630011142,3.04726965482203,2.64912491176621,3.4181354246352,2.68257686567648
197203,1972-01-01,4.21044668861867,3.43666666666667,3.4937,1.47005623925521,0.975348897484554,1.95034897859189,0.979948870152891,-0.773780021952008,3.15435809137792,2.75004013537407,3.52933395268788,3.38921447031692
197206,1972-04-01,2.31146742631214,3.77,3.4937,1.43354080630297,0.95951140228696,1.8934074188945,1.11033318147955,1.45853257368786,3.20254335846611,2.80038997661442,3.56943289301862,2.49502755556584
197209,1972-07-01,3.50305705918892,4.22,3.4937,1.38661636917578,0.911366905451232,1.8499998955767,1.19395946887535,0.716942940811081,3.29391515189275,2.8988244566753,3.66281655229024,3.21649121359426
197212,1972-10-01,3.24827452338745,4.86333333333333,3.9173,1.40327240042489,0.940941798177229,1.84023034118453,1.418814523451,1.61505880994588,3.43719303615599,3.02714513917009,3.80453893761782,3.31913768635118
197303,1973-01-01,4.80996069942901,5.7,3.9173,1.40158696597954,0.942416687103572,1.84372101126712,1.66879512358677,0.890039300570995,3.59823698873932,3.19831318051376,3.96222831573047,4.41192681179042
197306,1973-04-01,7.62325784357678,6.60333333333333,3.9173,1.35015996522056,0.876998714380964,1.8187497364713,1.72991709264387,-1.01992451024345,3.73084789842836,3.34177939893515,4.07813255274121,6.25938903394843
197309,1973-07-01,7.21498276828765,8.32333333333333,3.9173,1.36121379234265,0.871133868089402,1.82960265808413,2.17510050961459,1.10835056504569,3.81295614743199,3.44407739323716,4.16568999553382,6.86197406582918
197312,1973-10-01,8.10984987254901,7.5,3.9173,1.31539524702807,0.820413190425682,1.7992299290513,1.47114891360055,-0.609849872549013,3.84887166810253,3.47585185445811,4.18294967253878,7.26860157927956
197403,1974-01-01,11.7158133338993,7.61666666666667,4.211033333,1.29921730937205,0.770689963503559,1.84063253307792,0.0106381669621971,-4.09914666723264,3.92895283309061,3.55305308014464,4.274295149471,9.65514289642189
197406,1974-04-01,11.1654262728708,8.15333333333333,4.889733333,1.30619344240064,0.760960771687488,1.92079169330718,-0.731070560975385,-3.01209293953745,4.13642774000612,3.70045522534127,4.52010374985109,10.2495286277848
