"yyyymm","date","pi","tb3m","rr","rstar.mcmc","rstar.lb","rstar.ub"
198312,1983-10-01,3.74954991513867,8.8,5.05045008486133,1.57901358539284,-2.07274079794312,4.44742565417715
198403,1984-01-01,3.95948685930683,9.17,5.21051314069317,1.58326644492523,-2.05720158849229,4.45858244825558
198406,1984-04-01,4.00588271428068,9.79666666666667,5.79078395238598,1.59245981549421,-2.05538791320049,4.46560819715389
198409,1984-07-01,3.468541533526,10.32,6.851458466474,1.61082436889353,-2.0391687146321,4.49063702936349
198412,1984-10-01,3.42862009934009,8.80333333333333,5.37471323399325,1.58573659334853,-2.06039162298192,4.4606834839639
198503,1985-01-01,3.54643656583362,8.18333333333333,4.63689676749971,1.57147490194084,-2.06648801601925,4.44552449485688
198506,1985-04-01,3.42031220123244,7.46,4.03968779876756,1.56241879017602,-2.08601934972634,4.43441977664426
198509,1985-07-01,3.44250330386382,7.10666666666667,3.66416336280285,1.55221597705151,-2.07199565417,4.42936289025783
198512,1985-10-01,3.50478957198481,7.16666666666667,3.66187709468185,1.55007855058018,-2.08386797229768,4.42178795150374
198603,1986-01-01,3.02948632713393,6.89666666666667,3.86718033953273,1.55289921456612,-2.08959570384626,4.41683607472492
198606,1986-04-01,2.06972446032125,6.14,4.07027553967875,1.55235213073891,-2.09092361883402,4.41665479496103
198609,1986-07-01,1.78287437848716,5.52333333333333,3.74045895484617,1.54254741679486,-2.08060738173647,4.40655188013446
198612,1986-10-01,1.69308339188019,5.35333333333333,3.66024994145314,1.53751260305429,-2.08730764586646,4.41674173825709
198703,1987-01-01,1.91262270113874,5.53666666666667,3.62404396552792,1.53323453108296,-2.08797037752914,4.40009499401457
198706,1987-04-01,2.97983602948566,5.65666666666667,2.67683063718101,1.51660220612144,-2.09104599849298,4.3842167309487
198709,1987-07-01,3.40641868569449,6.04333333333333,2.63691464763884,1.51793291719432,-2.09651470299857,4.39737679082048
198712,1987-10-01,3.68641428037551,5.86333333333333,2.17691905295783,1.50419185796535,-2.10024555646305,4.3822806298222
198803,1988-01-01,3.52869067951014,5.72333333333333,2.1946426538232,1.50610603688313,-2.08995510665701,4.38558428643642
198806,1988-04-01,3.68178281906921,6.21,2.52821718093079,1.50811810526547,-2.09207052481706,4.38869404826999
198809,1988-07-01,3.97153383116002,7.01,3.03846616883998,1.51338960393019,-2.09010878449529,4.39260029852501
198812,1988-10-01,4.09496677616055,7.72666666666667,3.63169989050612,1.52293401066742,-2.08803723141152,4.40822136543455
198903,1989-01-01,4.43306922567821,8.54,4.10693077432179,1.52771954965661,-2.08015454975699,4.40477396144618
198906,1989-04-01,4.65507572719712,8.41,3.75492427280288,1.513614665496,-2.08352219917714,4.42474994200392
198909,1989-07-01,3.99867847682991,7.84333333333333,3.84465485650342,1.51260061395794,-2.07208569663615,4.42398689625502
198912,1989-10-01,3.7800888057725,7.65333333333333,3.87324452756084,1.51132120799164,-2.06915392957364,4.41327177797352
199003,1990-01-01,4.08272277249386,7.76,3.67727722750614,1.50284082699273,-2.06069429262234,4.39060620949931
199006,1990-04-01,3.65596350532806,7.74666666666667,4.0907031613386,1.50611124729649,-2.05114180753883,4.39873275155494
199009,1990-07-01,4.3363823727657,7.47666666666667,3.14028429390097,1.48235942626708,-2.07125603293621,4.39238379525378
199012,1990-10-01,4.86176296921386,6.99,2.12823703078614,1.46119878228498,-2.11209401961436,4.36052163151506
199103,1991-01-01,3.93994307823187,6.02333333333333,2.08339025510147,1.45606496422755,-2.09962647625189,4.37215523671624
199106,1991-04-01,3.57601857908865,5.56,1.98398142091135,1.4497233599312,-2.09607445546114,4.35268652153925
199109,1991-07-01,3.00370589905246,5.37666666666667,2.37296076761421,1.45231762584331,-2.10707735764302,4.36205296302667
199112,1991-10-01,2.41540610252535,4.54,2.12459389747465,1.44307249136403,-2.11696957759107,4.35306754682074
199203,1992-01-01,2.53463032484031,3.89333333333333,1.35870300849302,1.42413166240018,-2.13058041808703,4.33898137623705
199206,1992-04-01,2.66602821848547,3.68,1.01397178151453,1.41082208404469,-2.15151721622504,4.33917876853917
199209,1992-07-01,2.62555198549581,3.08333333333333,0.457781347837523,1.39491038099712,-2.15685737448222,4.33482480562064
199212,1992-10-01,2.61216210066095,3.07,0.457837899339047,1.38939138391943,-2.1661872829933,4.32946642994508
199303,1993-01-01,2.5908835191923,2.96,0.3691164808077,1.38240503294731,-2.1592204468598,4.3123277162568
199306,1993-04-01,2.60135079240458,2.96666666666667,0.365315874262089,1.3800404211428,-2.15462579652218,4.31464565029132
199309,1993-07-01,2.40194141192918,3.00333333333333,0.601391921404157,1.38006671496968,-2.16375973371367,4.30772485914349
199312,1993-10-01,2.27260728710101,3.06,0.787392712898986,1.37864910613121,-2.13642364818997,4.32531949011658
199403,1994-01-01,2.03478756841742,3.24333333333333,1.20854576491592,1.38214777533055,-2.1310358282402,4.32860408261244
199406,1994-04-01,1.91715891853992,3.98666666666667,2.06950774812675,1.39246062375081,-2.12103935806166,4.33611731155043
199409,1994-07-01,2.19210960825293,4.47666666666667,2.28455705841373,1.3895798365347,-2.09892608570663,4.33592349715526
199412,1994-10-01,2.08919040067066,5.28,3.19080959932934,1.40046500907982,-2.08516389497614,4.34761921983876
199503,1995-01-01,2.21213037278378,5.73666666666667,3.52453629388288,1.39964539341869,-2.08375562082864,4.36050771672526
199506,1995-04-01,2.220137038967,5.59666666666667,3.37652962769967,1.39263564940911,-2.10509733152614,4.36418133617441
199509,1995-07-01,1.90972796873234,5.36666666666667,3.45693869793432,1.38868844636027,-2.07612174101898,4.34902121744365
199512,1995-10-01,1.88005493744559,5.26,3.37994506255441,1.38135855265687,-2.10491531093447,4.34235773446282
199603,1996-01-01,1.96178217362402,4.93,2.96821782637598,1.36538614562718,-2.09354199173376,4.32328860885213
199606,1996-04-01,2.05674348071279,5.02,2.96325651928721,1.36187992077229,-2.10454351144856,4.32395887643205
199609,1996-07-01,2.08360626068025,5.09666666666667,3.01306040598642,1.35875543555483,-2.10999431712205,4.33122341596751
199612,1996-10-01,2.31805980871531,4.97666666666667,2.65860685795136,1.34373006139811,-2.09911150727642,4.33385243406378
199703,1997-01-01,2.19819065339122,5.06,2.86180934660878,1.3408668346799,-2.12675787563934,4.34749640383493
199706,1997-04-01,1.78663369222427,5.04666666666667,3.2600329744424,1.3416447246973,-2.10827350363268,4.34273234447424
199709,1997-07-01,1.61595145237063,5.04666666666667,3.43071521429603,1.33596391245664,-2.11025902484192,4.33537750951201
199712,1997-10-01,1.25222688924378,5.09,3.83777311075622,1.33817813691795,-2.10351612107954,4.33199918023266
199803,1998-01-01,0.80668639054986,5.05333333333333,4.24664694278347,1.33942555820823,-2.1033213924162,4.34912382699287
199806,1998-04-01,0.738313959959047,4.97666666666667,4.23835270670762,1.32983014127027,-2.10271779102202,4.33083667876973
199809,1998-07-01,0.785586778244074,4.82333333333333,4.03774655508926,1.31970625284219,-2.11445032507793,4.34415927730783
199812,1998-10-01,0.728343234069051,4.25333333333333,3.52499009926428,1.30165335752142,-2.13415510658075,4.32062011720777
199903,1999-01-01,0.994320459417164,4.40666666666667,3.4123462072495,1.29017544953757,-2.11428359817044,4.31358800347088
199906,1999-04-01,1.34967581348056,4.45333333333333,3.10365751985278,1.28104249302672,-2.10076972056428,4.3262081340455
199909,1999-07-01,1.57216777991351,4.65,3.07783222008649,1.271597740372,-2.1005954318456,4.30883859154472
199912,1999-10-01,1.91032138656233,5.04333333333333,3.133011946771,1.25956857258879,-2.11769341737185,4.3027982714312
200003,2000-01-01,2.48300357447722,5.52,3.03699642552278,1.24915016625947,-2.12656403578603,4.30441855158692
200006,2000-04-01,2.40600680798915,5.71333333333333,3.30732652534419,1.24460419878872,-2.1283709307336,4.29991579051017
200009,2000-07-01,2.49915341256948,6.01666666666667,3.51751325409719,1.24134011855492,-2.12374374243153,4.3102017870459
200012,2000-10-01,2.45915186333923,6.01666666666667,3.55751480332744,1.22876761416242,-2.12538081261391,4.31285587203335
200103,2001-01-01,2.2909969422523,4.81666666666667,2.52566972441437,1.20198803183899,-2.14727199776825,4.28231530497769
200106,2001-04-01,2.31134974307281,3.66,1.34865025692719,1.16985065858144,-2.18127211470022,4.27709457191864
200109,2001-07-01,1.76833731177881,3.17,1.40166268822119,1.16103076666468,-2.17808893827428,4.27983123731713
200112,2001-10-01,1.28246901127067,1.90666666666667,0.624197655395996,1.13641481448981,-2.18769586774166,4.27834903970311
200203,2002-01-01,0.801795145253337,1.72,0.918204854746663,1.13071489367492,-2.18974040661172,4.27565534781177
200206,2002-04-01,1.09279167950254,1.71333333333333,0.620541653830797,1.11702681401556,-2.18151097238983,4.25822217743429
200209,2002-07-01,1.52040821318344,1.64333333333333,0.122925120149889,1.09616799196066,-2.2018942924558,4.2460489392246
200212,2002-10-01,1.91187068454566,1.33333333333333,-0.578537351212325,1.07628245974103,-2.23571186603879,4.23437978170206
200303,2003-01-01,2.43217203609012,1.15666666666667,-1.27550536942345,1.05425945716397,-2.25711234078002,4.21834886541889
200306,2003-04-01,1.74960569784011,1.04,-0.709605697840106,1.0525903579394,-2.25235284321267,4.2349774627869
200309,2003-07-01,1.85565656740998,0.93,-0.92565656740998,1.04217645671461,-2.24280188460374,4.24039380657127
200312,2003-10-01,1.80302658155362,0.916666666666667,-0.886359914886957,1.03283879673386,-2.24784703235281,4.23005659351467
200403,2004-01-01,1.85921285926103,0.916666666666667,-0.942546192594361,1.02256536863401,-2.24669278551582,4.23298575283036
200406,2004-04-01,2.47498339811596,1.07666666666667,-1.39831673144929,1.00630743078874,-2.26606250420489,4.21878484729473
200409,2004-07-01,2.44567467741375,1.48666666666667,-0.959008010747078,1.00487150568135,-2.25756042782864,4.23314397621204
200412,2004-10-01,2.82829808033336,2.00666666666667,-0.821631413666691,0.997672361896748,-2.24469020652347,4.2176373324002
200503,2005-01-01,2.58501562201516,2.53666666666667,-0.0483489553484966,1.00223964112648,-2.24076967088105,4.22827492742115
200506,2005-04-01,2.54720284896326,2.86333333333333,0.316130484370074,0.999750970003781,-2.22457572081206,4.23796687378688
200509,2005-07-01,3.05738678247005,3.36,0.302613217529949,0.994786277046176,-2.22952010846329,4.23056291946969
200512,2005-10-01,3.04840272769313,3.82666666666667,0.778263938973533,0.99158386407163,-2.23148261214611,4.24338349188655
200603,2006-01-01,2.99246162942683,4.39333333333333,1.4008717039065,0.994973038877436,-2.21589263201008,4.24816628073223
200606,2006-04-01,3.09635772436572,4.70333333333333,1.60697560896762,0.994495043185307,-2.22933567637505,4.25424948850283
200609,2006-07-01,2.71757010200453,4.90666666666667,2.18909656466214,0.998742104589942,-2.2043050269446,4.26663628697864
200612,2006-10-01,1.76796161646386,4.90333333333333,3.13537171686947,1.00609202865084,-2.1859965053246,4.28774780376433
200703,2007-01-01,2.23423557849269,4.98333333333333,2.74909775484064,0.992072966006304,-2.19944856264556,4.28100656115962
200706,2007-04-01,2.25834758278136,4.73666666666667,2.4783190838853,0.979166933649463,-2.20273618517854,4.28624672392705
200709,2007-07-01,2.11176126269663,4.30333333333333,2.1915720706367,0.965919868392651,-2.20717639716528,4.29617498990959
200712,2007-10-01,3.28083607292804,3.39,0.109163927071961,0.917988993979159,-2.23575053237521,4.24949654503525
200803,2008-01-01,3.20667525370446,2.04333333333333,-1.16334192037113,0.889303851099581,-2.28470320217308,4.23323184595092
200806,2008-04-01,3.45602582209521,1.62666666666667,-1.82935915542854,0.870397266186398,-2.31211679565946,4.2141894478436
200809,2008-07-01,3.90340307979038,1.49333333333333,-2.41006974645705,0.852693971003533,-2.31433784191666,4.19027113046085
